month,turbcap_resid_wind,offshore_resid_wind,wind_shock
2010m1,-.298891143827996,-.2312278946501542,
2010m2,-.1723943405062471,-.7142691431512155,
2010m3,.1431805523428153,-.1951049492883149,
2010m4,.2910991623401516,.1747481316331966,
2010m5,.1133387133323404,.1833136504755508,
2010m6,-.4953266029424175,-.9999715276793854,
2010m7,-.5276138846699773,-.5604423879655273,
2010m8,-.0176913653677253,-.3222902834500604,
2010m9,.4926379117185375,.9042126303110114,
2010m10,.1599834388895333,.1964748878073497,
2010m11,-.5077117916152646,-.7965351405388066,
2010m12,.2029393019564947,.0822148631306551,
2011m1,.0667102409075767,-.0308809787750856,-2.5716295
2011m2,.3036650556232566,1.034686211600167,2.884346
2011m3,.2612539022109591,.290958708699722,-.56293982
2011m4,.573652668473461,1.038024152890164,2.9395182
2011m5,.15516190870997,.1717543058140491,.19956949
2011m6,-.16886167979077,-.5946397016292733,1.4775681
2011m7,.8798380018873805,.8164854288979441,4.1244526
2011m8,.7192074489363589,.8344812468347943,.97462195
2011m9,-.0638932139009864,.1021111427079943,1.6145937
2011m10,.5418916162747889,.714498615561686,1.3951319
2011m11,-.2103760279060155,-.0766562808825415,-.970945
2011m12,.766598109451008,.6002430727353717,4.6496096
2012m1,.7651427351957835,.7688658079980812,3.3707883
2012m2,.8141714278404669,.9093908647788749,.033911947
2012m3,.0962498735696077,.1278644570028107,1.8179151
2012m4,-.5240360086388366,-.8111088698243341,-1.0405298
2012m5,.1444119475134787,.2457325091250264,.78061676
2012m6,.1862269119759513,.5045550948090368,1.4355021
2012m7,.0810526864465832,.0589417128252298,-.79307443
2012m8,-.6249097749465022,-.7135083133470974,-.17889751
2012m9,.7759321095178379,1.646249023855517,.39692238
2012m10,.0117839813127025,-.0868508419817513,-.2034539
2012m11,.2647823000019469,.3759523750772494,1.5839392
2012m12,-.4555931675827314,-.667856666422977,-.36208987
2013m1,.0766467924802222,.1185649043589476,.13982637
2013m2,-.5733579854800348,-.9323464525728647,-.43763748
2013m3,-.2046749206069232,.5325972180705785,1.5376626
2013m4,-.5118422433406896,-.6248329510111801,-1.5059423
2013m5,-.5278882835563111,-.735148984058418,.22853619
2013m6,.7946768243201705,1.174853187387125,2.116905
2013m7,-.6489569975353745,-1.091463999964012,-1.008307
2013m8,.2988955087125675,.5878294647452359,1.1019787
2013m9,-.1092687373152403,-.915928468093362,.90184087
2013m10,.6083797370645652,1.138108459686662,.93444502
2013m11,-.1190734510676564,-.2141184536623743,1.1891831
2013m12,.1724710545863415,.6880645644990663,.97213846
2014m1,-.4511782847967529,.4101115685269829,.69860494
2014m2,-.2349227391096177,.3751502780558897,-.5010016
2014m3,-.2962305108662172,-.08111397282238,2.4634976
2014m4,.1488623328616684,.8492483455591745,.92097872
2014m5,-.1091148777738035,-.7886196656548927,1.2462045
2014m6,-.1795538723634386,-.162708005044703,-.073558792
2014m7,-.060669107421951,.1909227162724342,-.2487404
2014m8,.4696420959210665,.6087269352519666,1.0857189
2014m9,.3896471067248883,.6143769114270142,.765872
2014m10,-.3749042682770575,-.2671986530115474,-1.3723261
2014m11,.1247292288567161,.5492741726103464,1.4949695
2014m12,.7485303140116243,1.002907965828819,4.2513237
2015m1,-.1706717868893657,-.495747872877408,.14374712
2015m2,-.0289916979913396,.1460597048527922,-2.5524287
2015m3,.2713490164241962,.3231546745147795,.29241285
2015m4,-.3710471891437259,-.7117470638233923,.0084631657
2015m5,.0845727682624632,.5750192133736935,-.81698638
2015m6,.3595302928052405,.5214266307206049,-.48593763
2015m7,.2901138349635617,.1599915110279678,1.4458069
2015m8,-.1007918150899398,-.0350017514272536,-.46547115
2015m9,.2933928119371069,.2290485396938506,-.85569227
2015m10,-.6287729261871592,-.5961347541107055,-.83226049
2015m11,.5695371265312998,.7797463562779836,2.7327583
2015m12,.0694868495445668,.8206042882618902,-2.3213079
2016m1,-.3623230507621156,-.0064130118567752,-1.6030796
2016m2,-.1855920790039365,-.791835572023586,-.046759181
2016m3,-.3045647332277696,-.6435853787133085,-2.4870794
2016m4,-.0819321931371234,-.2613802155166294,-1.2446991
2016m5,.7482647671012415,1.052989067988838,1.0097079
2016m6,-.0486942669091928,-.046961058198111,-1.4022388
2016m7,.0207386194306825,.035788430447549,-.50659615
2016m8,.0132590867545622,.0455834276194012,-.31958535
2016m9,-.2552934489613284,-.544475970301143,-.28443891
2016m10,-.4926558120127047,-.4076630148059412,.58210218
2016m11,-.3271155069558057,-.5845463187629811,-2.1073864
2016m12,.3119637334960243,.2504897485487314,-.5365867
2017m1,-.5471844096224372,-.7718104754335795,-1.6792212
2017m2,-.0428977380397147,.2478174080980014,-.98930675
2017m3,-.2707886107257396,-.5148756106937477,.09309876
2017m4,.339597166386034,.378187301526466,2.5709405
2017m5,-.1538103680025837,.3512302294279323,-1.1704901
2017m6,.0559830144263839,-.0002737473367504,1.4472829
2017m7,-.3940766634846983,-.6514836131244214,-1.4358193
2017m8,-.0417207107007859,-.1361184215300811,-.14333108
2017m9,-.8405982568524186,-1.626610976607843,.044465829
2017m10,.6622769513967497,.8383624659704226,2.6743891
2017m11,.7576524944319635,.8215727006263479,-1.1723119
2017m12,.309323629500601,.1441852611701442,.91822988
2018m1,-.4284350718327893,-1.307637444290249,.68211442
2018m2,-.6647857822930933,-.5894698387068955,-3.7782292
2018m3,.0878723826186154,.1130352301105597,1.2472936
2018m4,-.2387818750680045,-.0756436934858984,-.8344382
2018m5,.1259493501378992,.1860606323221328,-.39721176
2018m6,.1627766705847791,.3118509777958847,.19973253
2018m7,-.3391451923576809,-.7472572565906551,-.47814828
2018m8,.3557525053160408,.3165099563570299,.15569845
2018m9,.2489749460566654,.9747245926566078,.34365726
2018m10,.1791145011476912,.296755730846926,.2109368
2018m11,.0202794100486392,.2760870735966384,-.78207064
2018m12,.4101170215214139,.2091156703012535,-.27781996
2019m1,.547350886425591,.4843864210189871,1.6054348
2019m2,-.4233682409811207,-.6562943020928329,-1.0715055
2019m3,.7651939604458501,.7375919906498696,2.2597649
2019m4,.1206629895047854,-.038230084807292,-1.2182919
2019m5,.3959891769618498,.7148444547229128,-.44090682
2019m6,.0727911399097788,.3641915348465561,-.062446393
2019m7,.2046244792784428,.7132640296081604,.53332299
2019m8,-.2600946201909755,-.0677019753062406,-1.6229918
2019m9,.1386237358392463,.3873347955197796,1.1014143
2019m10,.0021530193323009,-.626776950830136,-1.583793
2019m11,-.9472819251422073,-1.362115007203542,-1.1166734
2019m12,-.165462428945249,-.177201826993649,-2.4538488
2020m1,.4357698204744598,.8286236623996922,-1.3548446
2020m2,.3520155229970848,.334964562320569,2.8280458
2020m3,-.0574377907006196,-.2769739823871906,-2.1475356
2020m4,-.1867141422838515,-.3158110680222812,.99120861
2020m5,-.4989541282811261,-.9200899269536708,-.67826587
2020m6,-.3809702295301715,-.4637239449528674,-.92443526
2020m7,-.1242338301937118,-.2192123141277792,-.7682786
2020m8,.012130430021385,.0491899173567934,-.33768487
2020m9,-.6839310522338152,-.8312158962755861,-1.68264
2020m10,-.2333713458224436,-.497454824198082,-.50227535
2020m11,.4315538477635484,.9264548481920822,-1.0769001
2020m12,-1.043228366001612,-1.325799818414678,-2.5926392
2021m1,-.4581665132428386,-.8954822073669592,-.80503935
2021m2,-.5605354822872367,-.1178912402134006,-2.3992102
2021m3,.2139683588402329,.2699315456821189,.56845576
2021m4,.4209866596821647,.6323924403984609,.9719941
2021m5,-.4385042210147042,-1.365055284220901,-.53776157
2021m6,-.3693070280964014,-.3630770201558779,-1.102596
2021m7,.1233411466668737,.1088048975153578,-1.0885601
2021m8,.5054350325638481,.8085133566532027,.47538126
2021m9,-.0232100084278566,-.1867271561390631,-1.1195245
2021m10,.246178868370152,.283162334108001,-.75593388
2021m11,-.0842228344027409,-.0256184240957784,.53916055
2021m12,-.774588726799129,-1.118016901771123,-.34681126
2022m1,.3734995455975746,.649925097894914,.81937319
2022m2,1.278316653856593,1.190283299291469,5.553906
2022m3,-.4974636629466599,-.7583639366560128,-2.1994646
2022m4,.2847868932784257,.0960354431826072,.48806077
2022m5,-.2701485003134972,-.6741871943799469,-.70577663
2022m6,-.3533891294591349,-.7052212051368911,-.97672009
2022m7,.2443859566891389,.8560240060694622,.10423154
2022m8,-.9669987843915924,-1.495145453453454,-1.4708239
2022m9,-.0383467003597654,.1368558332104713,.58719671
2022m10,-.4394346147803262,-.5024735703099281,-1.6547256
2022m11,.1306589335510466,.8564482466420817,-.86413175
2022m12,-.6626314657032736,-.469541882501143,-1.8807522
2023m1,.0980502682751362,.0464852549290841,.5667429
2023m2,.101187637235604,-.2677928373395028,.38960397
2023m3,-.1792072510428162,-.3461316256623866,-1.0222101
2023m4,.0051469890930551,-.0392541064794953,-1.9349368
2023m5,.0777589650891785,.2881269434895202,.73601991
2023m6,-.0030816864981708,-.0093816978298325,-.80292243
2023m7,.0640435564622767,-.0305727656752949,.11970877
2023m8,-.167470109041524,-.3666919111207201,.74538565
2023m9,-.1082113342258663,-.0767848306194892,-1.8136669
2023m10,-.1002952596244747,-.029791740070294,1.107764
2023m11,-.2277422933115425,-1.338856910794271,.5504064
2023m12,-.2377804550687995,-.7061809764263208,-.019444384
2024m1,.3536799716179376,.4322371681235318,-.012817685
2024m2,.0374897881393512,-.1684529428974517,.086262882
2024m3,-.0287005663355346,.4210156314929069,-1.8608706
2024m4,-.2704412100075287,-.2906277622195916,-1.1123252
2024m5,.1529727818336241,.7140300485282064,.54674542
2024m6,.3671996415673925,.4690804824044856,-.8461349
2024m7,.1865573938384643,.3602096047835628,
2024m8,-.1946449284968037,-.1143761951835082,
2024m9,-.2164558695170072,-.8131701713457657,
2024m10,-.1423278870843299,-.453018144662681,
2024m11,.1243304892160828,-.187089237082463,
2024m12,.3478545960327188,.6667726380539876,
